id,code,product_name,generic_name,quantity,unit quantity,packaging,brands,categories,origins,manufacturing_places,manufacturing_places_tags,labels,stores,countries,ingredients_text,allergens_tags,traces,additives_n,additives_tags,ingredients_from_palm_oil_n,nutriscore_grade,nova_group,pnns_groups_1,pnns_groups_2,main_category,,image_url,image_small_url,image_ingredients_url,image_nutrition_url,energy_kcal_100g,energy_100g,energy_from_fat_100g,fat_100g,saturated_fat_100g,monounsaturated_fat_100g,polyunsaturated_fat_100g,omega_3_fat_100g,omega_6_fat_100g,omega_9_fat_100g,trans_fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,alcohol_100g,vitamin_a_100g,vitamin_d_100g,vitamin_e_100g,vitamin_c_100g,vitamin_b1_100g,vitamin_b2_100g,vitamin_pp_100g,vitamin_b6_100g,vitamin_b9_100g,vitamin_b12_100g,biotin_100g,pantothenic_acid_100g,potassium_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,copper_100g,manganese_100g,selenium_100g,iodine_100g,caffeine_100g,fruits-vegetables_nuts_estimate_100g,cocoa_100g,carbon_footprint_from_meat_or_fish_100g,Price
13,5411156001622,Crème Fraiche Authentique,crème fraiche,250,ml,"bouteille,plastique",Carlsbourg,"Produits laitiers, Produits fermentés, Crèmes, Produits laitiers fermentés, Crèmes épaisses, Crèmes aigres",fr:Belgique,Belgium,belgium,Lait belge,delhaize,"Belgique, France","crème de_lait_, émulsifiants (E471, E472b), stabilisant (carraghénanes)",en:milk,,3,"en:e407,en:e471,en:e472b",0,d,4,Crèmerie ,Milk and yogurt,en:sour-creams,13,https://static.openfoodfacts.org/images/products/541/115/600/1622/front_fr.9.400.jpg,https://static.openfoodfacts.org/images/products/541/115/600/1622/front_fr.9.200.jpg,https://static.openfoodfacts.org/images/products/541/115/600/1622/ingredients_fr.8.400.jpg,https://static.openfoodfacts.org/images/products/541/115/600/1622/nutrition_fr.10.400.jpg,308,1289,,33.5,21.1,,,,,,,3.3,3.3,0,2.3,0.8,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
14,5400113572411,Graines de Chia Noir,,300,g,,Delhaize,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Graines, Céréales et dérivés, Céréales en grains, Chia",,,,,Delhaize,Belgique,graines de chia noir (Salvia hispanica) 100%,,"en:nuts,en:peanuts,en:sesame-seeds,en:soybeans",0,,0,a,1,Epicerie salée,Cereals,en:chia,14,https://static.openfoodfacts.org/images/products/540/011/357/2411/front_fr.19.400.jpg,https://static.openfoodfacts.org/images/products/540/011/357/2411/front_fr.19.200.jpg,https://static.openfoodfacts.org/images/products/540/011/357/2411/ingredients_fr.7.400.jpg,https://static.openfoodfacts.org/images/products/540/011/357/2411/nutrition_fr.21.400.jpg,447,1870,,31,3.3,,,,,,,8,0,34,17,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1
15,27019917,Milsani Yaourt entier aux fruits,Yaourt entier aux fruits,125,g,Pot plastique,MILSANI,"Produits laitiers, Produits fermentés, Produits laitiers fermentés, Yaourts, Yaourts aux fruits",,,,,Aldi,"Belgique, France","Lait entier (72,3%), fruits (12%) (framboise, cerise, fraise, pêche, fruits des bois : mûre - framboise - myrtille, fruits exotiques : ananas - banane - mangue - fruit de la passion), sucre (9,8%), sirop de glucose-fructose, protéines de lait, amidon modifié de maïs, tapioca et pomme de terre, citrate de calcium, jus concentré de sureau, epaississants (E412, E415, E407), arômes, ferments lactiques (lait), vitamine B2, colorant (120), vitamine B12.",en:milk,fr:Noyaux ou débris de noyaux,5,"en:e101,en:e14xx,en:e407,en:e412,en:e415",0,c,4,Crèmerie ,Milk and yogurt,en:fruit-yogurts,15,https://static.openfoodfacts.org/images/products/27019917/front_fr.30.400.jpg,https://static.openfoodfacts.org/images/products/27019917/front_fr.30.200.jpg,https://static.openfoodfacts.org/images/products/27019917/ingredients_fr.21.400.jpg,https://static.openfoodfacts.org/images/products/27019917/nutrition_fr.32.400.jpg,100,418,,2.6,1.7,,,,,,,16,15,,3,0.09,0.036,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,1
16,8001505001167,Fiordifrutta agrumes et gingembre,,260,g,bocal vitre,"coefficients,Rigoni di Asiago","Plantaardige levensmiddelen en dranken,Plantaardige levensmiddelen,Voedsel op basis van fruit en groenten,Smeerbare producten,Ontbijten,Fruit en afgeleide producten,Plantaardige smeerbare vetten,Zoete smeerpastas,Confituren en marmelades,Jams,Citrusmarmelades,en:fruit-jams",,Asiago (VI) Italie,asiago-vi-italie,"Bio, Bio européen, en:gluten-free, en:IT-BIO-007  , en:no-gluten","BioCap,Delhaize",Belgium,"jus de pommes, agrumes 30% (oranges amères*, citrons*, mandarines, bergamote en proportion variable), gingembre 2%, gélifiant: pectine. *biologique _sans gluten_",fr:sans-gluten,,1,en:e440,0,d,4,Epicerie sucrée,Sweets,en:fruit-jams,16,https://static.openfoodfacts.org/images/products/800/150/500/1167/front_fr.16.400.jpg,https://static.openfoodfacts.org/images/products/800/150/500/1167/front_fr.16.200.jpg,https://static.openfoodfacts.org/images/products/800/150/500/1167/ingredients_fr.8.400.jpg,https://static.openfoodfacts.org/images/products/800/150/500/1167/nutrition_fr.11.400.jpg,195,787,,0,0,,,,,,,48,46,0,0,0.12,0.048,,,,,,,,,,,,,,,,,,,,,,,,,30,,,1
17,5411156001844,Crème 19%,,250,ml,"bouteille,plastique",Balade,"Produits laitiers, Produits fermentés, Crèmes, Produits laitiers fermentés, Crèmes épaisses, Crèmes aigres, Crèmes liquides",,,,No additives,Delhaize,"Belgique, France, en:lu","_Crème_, _lait_ écrémé, amidon de riz,",en:milk,,0,,0,d,3,Crèmerie ,Milk and yogurt,fr:cremes-liquides,17,https://static.openfoodfacts.org/images/products/541/115/600/1844/front_fr.15.400.jpg,https://static.openfoodfacts.org/images/products/541/115/600/1844/front_fr.15.200.jpg,https://static.openfoodfacts.org/images/products/541/115/600/1844/ingredients_fr.13.400.jpg,https://static.openfoodfacts.org/images/products/541/115/600/1844/nutrition_fr.25.400.jpg,219,917,,19.5,13,,,,,,,7.099999905,5.800000191,0,3.700000048,0.6999999881,0.2799999952,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
19,5410041081909,Cent wafers,,450,g,plastique,Lu,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Gaufrettes, Gaufrettes fourrées",,,,,Colruyt,"Belgique,France","Farine de blé, sucre, graisse de coco totalement hydrogénée, pâte de cacao, cacao maigre en poudre, huile de colza, lactose et protéines de lait, lait entier en poudre, émulsifant (lécithine de soja), colorant (E150c), poudres à lever (carbonate acide d'ammonium, carbonate acide de sodium), sel, arôme (vanilline),","en:gluten,en:milk,en:soybeans","en:eggs,en:sesame-seeds",4,"en:e150c,en:e322,en:e322i,en:e500,en:e500ii,en:e503,en:e503ii",0,d,4,Epicerie sucrée,Biscuits and cakes,en:stuffed-wafers,18,https://static.openfoodfacts.org/images/products/541/004/108/1909/front_fr.23.400.jpg,https://static.openfoodfacts.org/images/products/541/004/108/1909/front_fr.23.200.jpg,https://static.openfoodfacts.org/images/products/541/004/108/1909/ingredients_fr.10.400.jpg,https://static.openfoodfacts.org/images/products/541/004/108/1909/nutrition_fr.18.400.jpg,525,2197,,28,25,,,,,,,59,29,4.3,6,0.1,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
20,8714100674574,Rice snack,,87,g,"Cup,Plastique",Knorr,"Plats préparés, Produits déshydratés, Produits lyophilisés à reconstituer, Plats préparés déshydratés",Italie,,,Point Vert,Delhaize,"Belgique, France, Suisse","71 % riz, huile de palme, sirop de glucose, 4 % légumes (oignons, poivron, petits pois, poireau, carottes), amidon de pomme de terre, 3 % curry (coriandre, cumin, curcuma, poivre, anis, cannelle, graines de fenouil, gingembre, racine de livèche, poivre de Cayenne, piment), extrait de levure, sel comestible, sucre, arômes (dont _blé_, dont _céleri_, dont _lait_), protéine de _lait_, persil.","en:celery,en:gluten,en:milk",en:eggs,0,,1,,4,Traiteur et apéritifs ,One-dish meals,en:dried-meals,20,https://static.openfoodfacts.org/images/products/871/410/067/4574/front_fr.18.400.jpg,https://static.openfoodfacts.org/images/products/871/410/067/4574/front_fr.18.200.jpg,https://static.openfoodfacts.org/images/products/871/410/067/4574/ingredients_fr.12.400.jpg,https://static.openfoodfacts.org/images/products/871/410/067/4574/nutrition_fr.23.400.jpg,115,481,,2.6,1.3,,,,,,,20,1.2,0.6,2.4,0.63,0.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
22,5400141076769,Double concentré de tomates,Double Concentré de Tomates,70,g,"conserve,métal",Boni,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Légumes et dérivés, Tomates et dérivés, Concentrés de tomates",,,,,Colruyt,"Belgien, en:es","100 % tomates,",,,0,,0,a,1,Legumes,Vegetables,en:tomato-pastes,22,https://static.openfoodfacts.org/images/products/540/014/107/6769/front_fr.68.400.jpg,https://static.openfoodfacts.org/images/products/540/014/107/6769/front_fr.68.200.jpg,https://static.openfoodfacts.org/images/products/540/014/107/6769/ingredients_fr.11.400.jpg,https://static.openfoodfacts.org/images/products/540/014/107/6769/nutrition_fr.70.400.jpg,96,407,,0.3,0.1,,,,,,,16.5,16.5,4.2,4.8,0.4,0.16,,,,,,,,,,,,,,,,,,,,,,,,,100,,,1
23,87331004,Sirop de fruit,,750,ml,bouteille,Raak,Sirops,,Pays-Bas,pays-bas,,"Jumbo,Delhaize",en:belgium,Eau,,,0,,0,b,1,Boissons ,unknown,en:syrups,23,https://static.openfoodfacts.org/images/products/87331004/front_fr.7.400.jpg,https://static.openfoodfacts.org/images/products/87331004/front_fr.7.200.jpg,https://static.openfoodfacts.org/images/products/87331004/ingredients_fr.4.400.jpg,https://static.openfoodfacts.org/images/products/87331004/nutrition_fr.13.400.jpg,1,4,,0,0,,,,,,,0.200000003,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
24,8437005930520,Mandarijnen,,1000,g,sachet,Bagu,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Fruits et produits dérivés, Fruits, Agrumes, Mandarines",,,,,okay,"Bélgica,España",SATSUMA,,,0,,0,,,Fruits,Fruits,en:mandarin-oranges,24,https://static.openfoodfacts.org/images/products/843/700/593/0520/front_fr.14.400.jpg,https://static.openfoodfacts.org/images/products/843/700/593/0520/front_fr.14.200.jpg,https://static.openfoodfacts.org/images/products/843/700/593/0520/ingredients_fr.4.400.jpg,https://static.openfoodfacts.org/images/products/843/700/593/0520/nutrition_fr.16.400.jpg,35,146,,0,0,,,,,,,7.1,6.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
25,5400601000839,Compote de pommes Tamise,Mousseline de pommes,720,g,Bocal,365 (Delhaize),"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Desserts, Aliments à base de fruits et de légumes, Fruits et produits dérivés, Compotes, Compotes de pomme",,,,,Delhaize,"Belgique, France","pommes 92%, sirop de glucose-fructose, sucre, acidifiant (acide citrique), antioxydant (acide ascorbique).",,,2,"en:e300,en:e330",0,b,4,Fruits,Fruits,en:apple-compotes,25,https://static.openfoodfacts.org/images/products/540/060/100/0839/front_fr.20.400.jpg,https://static.openfoodfacts.org/images/products/540/060/100/0839/front_fr.20.200.jpg,https://static.openfoodfacts.org/images/products/540/060/100/0839/ingredients_fr.14.400.jpg,https://static.openfoodfacts.org/images/products/540/060/100/0839/nutrition_fr.25.400.jpg,325,1360,,0.4,0.2,,,,,,,17.5,16,1,0.3,0.03,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
26,5400101256118,Sel fin iodé,,750,g,Boîte carton,Carrefour,"Epicerie, Condiments, Sels, Sels fins",,Belgique,belgique,,Carrefour,Belgique,"Sel, anti-agglomérant ferrocyanure de sodium, iodure de sodium (15 à 20 mg /kg).",,,1,en:e535,0,,2,Epicerie salée,unknown,fr:sels-fins,26,https://static.openfoodfacts.org/images/products/540/010/125/6118/front_fr.32.400.jpg,https://static.openfoodfacts.org/images/products/540/010/125/6118/front_fr.32.200.jpg,https://static.openfoodfacts.org/images/products/540/010/125/6118/ingredients_fr.19.400.jpg,https://static.openfoodfacts.org/images/products/540/010/125/6118/nutrition_fr.15.400.jpg,0,0,,0,0,,,,,,,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0.00175,,,,,1
27,5400141270594,Amandes,fruits,250,g,"Boîte en plastique,plastique",Boni,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Fruits et produits dérivés",Etats-Unis,,,Riche en fibres,Colruyt,Belgique,_Amandes_ 100 %,en:nuts,"en:nuts,en:peanuts,en:sesame-seeds,en:soybeans",0,,0,a,1,Fruits,Fruits,en:fruits-based-foods,27,https://static.openfoodfacts.org/images/products/540/014/127/0594/front_fr.4.400.jpg,https://static.openfoodfacts.org/images/products/540/014/127/0594/front_fr.4.200.jpg,https://static.openfoodfacts.org/images/products/540/014/127/0594/ingredients_fr.16.400.jpg,https://static.openfoodfacts.org/images/products/540/014/127/0594/nutrition_fr.14.400.jpg,592,2477,,49,3.7,,,,,,,9.5,3.9,12,21,0.01,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
28,5400141056471,Farine de blé,,1000,g,paquet,everday,Farine de blé,,,,,colruyt,Belgium,Farine de blé T55 - 100 %farine de blé,,,0,,0,a,1,Epicerie salée,Cereals,en:wheat-flours,28,https://static.openfoodfacts.org/images/products/540/014/105/6471/front_fr.4.400.jpg,https://static.openfoodfacts.org/images/products/540/014/105/6471/front_fr.4.200.jpg,https://static.openfoodfacts.org/images/products/540/014/105/6471/ingredients_fr.7.400.jpg,https://static.openfoodfacts.org/images/products/540/014/105/6471/nutrition_fr.10.400.jpg,348,1456,,1.1,0.2,,,,,,,72,1.1,3.5,11,0.01,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
29,5400113562580,thé vert,,30,g,30gr 6*1.5gr,Delhaize,"Boissons, Boissons chaudes",,,,en:utz-certified,Delhaize,Belgique,"thé vert 72,5%, citronnelle, arôme naturel, écorces de citron 1%",,,0,,0,,4,Boissons ,Unsweetened beverages,en:hot-beverages,29,https://static.openfoodfacts.org/images/products/540/011/356/2580/front_fr.4.400.jpg,https://static.openfoodfacts.org/images/products/540/011/356/2580/front_fr.4.200.jpg,https://static.openfoodfacts.org/images/products/540/011/356/2580/ingredients_fr.11.400.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
30,27053461,Soupe tomate basilic,,200,ml,sachet,menuto,Soupes en sachet,,,,,,"Belgique, France","28 % tomates en poudre, amidon, 15 % croûtons (farine de blé graisse de palme, huile de colza, sel levure) sel, sucre, exhausteurs de gout glutamate monosodique), huile de palme, extrait de levure, oignons, sirop de glucose, graisse de palme, arômes (contient gluten, lait), épaississant (gomme xanthane), plantes aromatiques, amidon modifié, poivre, Peut contenir des traces de céleri, d'oeufs, de soja et de moutarde,","en:gluten,en:milk","en:celery,en:mustard,en:soybeans",3,"en:e14xx,en:e415,en:e621",1,c,4,Epicerie salée,unknown,fr:soupes-en-sachet,30,https://static.openfoodfacts.org/images/products/27053461/front_fr.27.400.jpg,https://static.openfoodfacts.org/images/products/27053461/front_fr.27.200.jpg,https://static.openfoodfacts.org/images/products/27053461/ingredients_fr.20.400.jpg,https://static.openfoodfacts.org/images/products/27053461/nutrition_fr.29.400.jpg,28,117,,0.5,0.2,,,,,,,5.3,2,,0.8,1.2,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
31,27018491,Fromage frais,,200,g,"frais,plastique",Valblanc,"Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Fromages à la crème",,,,,,"Belgique, France","_Lait_ (pasteurisé), présure (microbienne), cultures lactiques, sel, [épaississant (farine de graines de caroube), acidifiant (acide citrique).",en:milk,,1,en:e330,0,d,4,Crèmerie ,Cheese,en:cream-cheeses,31,https://static.openfoodfacts.org/images/products/27018491/front_fr.52.400.jpg,https://static.openfoodfacts.org/images/products/27018491/front_fr.52.200.jpg,https://static.openfoodfacts.org/images/products/27018491/ingredients_fr.16.400.jpg,https://static.openfoodfacts.org/images/products/27018491/nutrition_fr.54.400.jpg,231,967,,22,15,,,,,,,2.6,2.3,,5.5,1.3,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
32,3329487210021,Agar-agar,,150,g,plastique,markal,"Food additives, Thickeners, nl:Plantbased gelatin, en:agar-agar",,France,france,fr:ab-agriculture-biologique,Bio-planet,"Belgique, France",Agar-agar biologique,,,1,en:e406,0,,4,Poisson ,Fish and seafood,nl:plantbased-gelatin,,https://static.openfoodfacts.org/images/products/332/948/721/0021/front_fr.6.400.jpg,https://static.openfoodfacts.org/images/products/332/948/721/0021/front_fr.6.200.jpg,,,,820.1,,0,0,,,,,,,4.6,0.5,90.4,1.1,0.02,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
